property_name,location,bedrooms,bathrooms,price,size,price_per_sqm
170 SQ M Office Space in Ghubrah,"Al Ghubrah, Muscat•",2,,350.0,170.0,2.0588235294117645
Spacious Villa for Rent in Al Khoud| REF 92BC,"Al Khoud, Muscat•",5,5.0,425.0,300.0,1.4166666666666667
2 BR Furnished Apartment in Muscat Hills with Shared Pool and Gym,"Muscat Hills, Muscat•",2,2.0,500.0,109.0,4.587155963302752
1 BR Cozy Ground Floor Furnished Apartment with Pool and Gym – Al Mouj,"The Wave (Almouj), Muscat•",1,1.0,550.0,59.0,9.322033898305085
3 BR + Maid’s Room Villa in Bowsher,"Bosher, Muscat•",4,4.0,700.0,159.0,4.40251572327044
2 BR Fully Furnished Apartment in Bosher including Amenities,"Bosher, Muscat•",3,3.0,550.0,109.0,5.045871559633028
1 BR Wonderful Apartment in Al Mouj – Marsa 1,"The Wave (Almouj), Muscat•",2,2.0,450.0,63.0,7.142857142857143
1 BR + Maid’s Room Excellent Furnished Apartment in Bousher,"Bosher, Muscat•",2,2.0,500.0,65.0,7.6923076923076925
3 BR Stunning Duplex Apartment in Muscat Bay with Private Pool,"Qantab, Muscat•",4,4.0,1000.0,159.0,6.289308176100629
2 BR Nice Apartment in Ruwi for Rent,"Ruwi, Muscat•",2,2.0,230.0,80.0,2.875
4 Desk Office Space in Business Center in Qurum,"Qurum, Muscat•",2,,650.0,15.0,43.333333333333336
Furnished Apartment for Rent in Al Khuwair 33 | REF 91MC,"Al Khuwair, Muscat•",3,3.0,300.0,90.0,3.3333333333333335
"Flexible office memberships in Sohar, Sohar City Centre","Sohar, Al Batinah•",2,,89.0,10.0,8.9
SHATTI AL QURM | SPACIOUS COMMERCIAL SPACE,"Qurum, Muscat•",2,,9100.0,1400.0,6.5
SHATTI AL QURM | SPACIOUS OFFICE SPACES,"Qurum, Muscat•",2,,1600.0,151.0,10.596026490066226
MADINAT QABOOS | BEAUTIFUL 5+1 BR COMPOUND TOWNHOUSE,"Madinat As Sultan Qaboos, Muscat•",6,6.0,1450.0,300.0,4.833333333333333
Commercial Building for Rent in Ghala| REF 88LC,"Ghala, Muscat•",2,,16200.0,3600.0,4.5
"Office Spaces for Rent - Qurum Heights, Archway Building PPC102 A","Qurum, Muscat•",2,,560.0,80.0,7.0
"Office Spaces for Rent - Qurum Heights, Archway Building PPC102 B","Qurum, Muscat•",2,,672.0,96.0,7.0
"Brand New Office for Rent in Muscat Pavilion, Muscat Hills – PPC138","Muscat Hills, Muscat•",2,,300.0,51.63,5.810575246949448
"Office Spaces for Rent - Qurum Heights, Archway Building PPC102 C","Qurum, Muscat•",2,,490.0,70.0,7.0
1 BR Furnished Apartment in Bosher with Building Amenities,"Bosher, Muscat•",2,2.0,350.0,59.0,5.932203389830509
3 BR + Maid's Room Spacious Townhouse – Mawaleh (Near Mazoon Square),"Al Mawaleh, Muscat•",5,5.0,700.0,359.0,1.9498607242339834
للايجار مكتب مميزفرصة مثالية لمكتب إداري أو نشاط تجارقرب عُمان مول.,"Bosher, Muscat•",2,,550.0,105.0,5.238095238095238
ADV938** 6 bhk + Maid's villa for rent in Qurum,"Qurum, Muscat•",7,7.0,1800.0,490.0,3.673469387755102
ADA902** 1bhk flat for rent in Qurum - Saih Al Maleh,"Qurum, Muscat•",1,1.0,275.0,75.0,3.6666666666666665
6me68 - Peaceful 3+1 BHK Standalone VIlla for Rent in Qurum,"Qurum, Muscat•",3,3.0,700.0,400.0,1.75
Small Flat For Rent,"Al Khoud, Muscat•",1,1.0,130.0,64.0,2.03125
ground floor apartment from villa in hail north,"Al Hail, Muscat•",3,3.0,325.0,200.0,1.625
MADINAT QABOOS | BRAND NEW LUXURIOUS 5+1BR TWIN VILLAS FOR RENT,"Madinat As Sultan Qaboos, Muscat•",8,8.0,1700.0,450.0,3.7777777777777777
GHALA | 330 SQM AMAZING OFFICE SPACE IN PRIME LOCATION FOR RENT,"Ghala, Muscat•",2,,950.0,330.0,2.878787878787879
AL QURUM | 555 SQM BEAUTIFUL OPEN SPACE OFFICE IN PRIME LOCATION,"Qurum, Muscat•",2,,3330.0,550.0,6.054545454545455
94 SQM Shop for Rent in Ghubrah – Good Location,"Al Ghubrah, Muscat•",2,,800.0,94.0,8.51063829787234
"Stunning 1-Bedroom Apartment for Rent in Liwan, Muscat","The Wave (Almouj), Muscat•",2,2.0,625.0,114.0,5.482456140350878
MADINAT AL ILAM | FULLY FURNISHED MODERN 5+1BR VILLA,"Madinat As Sultan Qaboos, Muscat•",8,8.0,1500.0,325.0,4.615384615384615
شقة راقية للايجار القرم - luxury apartment for rent in al qurum,"Qurum, Muscat•",2,2.0,380.0,96.0,3.9583333333333335
MADINAT QABOOS | 4+1 LUXURIOUS COMPOUND VILLA,"Madinat As Sultan Qaboos, Muscat•",6,6.0,1199.0,365.0,3.2849315068493152
MADINAT QABOOS | SPACIOUS 4+1 LUXURIOUS COMPOUND VILLA FOR RENT,"Madinat As Sultan Qaboos, Muscat•",6,6.0,1200.0,395.0,3.037974683544304
MADINAT AL ILAM | LUXURIOUS BRAND NEW 5+1 BR VILLA FOR RENT,"Madinat As Sultan Qaboos, Muscat•",8,8.0,1300.0,488.0,2.6639344262295084
AL MOUJ | WONDERFUL 3+1 BHK MARINA VIEW APARTMENT FOR RENT,"The Wave (Almouj), Muscat•",4,4.0,1199.0,162.0,7.401234567901234
QURUM | 295 SQM FURNISHED OFFICE IN PRIME LOCATION,"Qurum, Muscat•",2,,1795.0,295.0,6.084745762711864
AL QURUM | MODERN 3+1 BR VILLA WITH GREAT VIEWS (UN FURNISHED),"Qurum, Muscat•",5,5.0,1200.0,349.0,3.438395415472779
MADINAT AL ILAM | LUXURIOUS 7+2 BR VILLA FOR RENT,"Madinat As Sultan Qaboos, Muscat•",12,12.0,2500.0,650.0,3.8461538461538463
AL QURUM | LUXURIOUS MODERN 3+1 BR VILLA,"Qurum, Muscat•",5,5.0,1200.0,295.0,4.067796610169491
GHALA | 450 SQM STUNNING PENTHOUSE OFFICE SPACE FOR RENT,"Ghala, Muscat•",2,,1700.0,450.0,3.7777777777777777
spacious  flat @ MGM شقة واسعة في مسقط جراند مول,"Al Khuwair, Muscat•",3,3.0,475.0,145.0,3.2758620689655173
Flat @ Shaden Al Hail compound  north hail+ free gas + free car park,"Al Hail, Muscat•",2,2.0,250.0,80.0,3.125
2BHK FULLY FURNISHED IN AL-KHUWAIR,"Al Khuwair, Muscat•",2,2.0,310.0,959592.0,0.00032305396460162233
Brand New 2 Bedroom Apartment with Marina View,"The Wave (Almouj), Muscat•",3,3.0,1250.0,240.0,5.208333333333333
3 Bedroom Townhouse for Rent in MQ,"Madinat As Sultan Qaboos, Muscat•",4,4.0,600.0,224.0,2.6785714285714284
For Rent: Fully Furnished 1 Bedroom Apartment,"The Wave (Almouj), Muscat•",1,1.0,600.0,90.0,6.666666666666667
استوديو غرفه وحمام ومطبخ مفروشه,"Azaiba, Muscat•",1,1.0,180.0,133.0,1.3533834586466165
فيلا فاخرة داخل مجمع سكني للإيجار|Luxury Villa in a Gated Compound,"Al Seeb, Muscat•",4,4.0,550.0,350.0,1.5714285714285714
Madinat alilam| Standalone | Specious,"Madinat As Sultan Qaboos, Muscat•",4,4.0,900.0,400.0,2.25
1 BHK  flat for rent in Nizwaشقة للإيجار في نزوى,"Nizwa, Al Dakhiliya•",2,2.0,70.0,45.0,1.5555555555555556
استديو مؤثث بالكامل للايجار في العذيبه قريب اسواق التنين,"Azaiba, Muscat•",1,1.0,180.0,1000.0,0.18
Werhouse for rent in Nizwa مستودع  كبير للايجار في نزوى,"Nizwa, Al Dakhiliya•",2,,700.0,318.0,2.20125786163522
3 BHK for rent in Azaiba,"Azaiba, Muscat•",2,,400.0,150.0,2.6666666666666665
2 BHK for rent in Ghala,"Ghala, Muscat•",2,2.0,230.0,110.0,2.090909090909091
Brand New 1BHK Flat for Rent in Ghala PPA200 F,"Ghala, Muscat•",1,1.0,325.0,75.0,4.333333333333333
Brand New 1BHK Flat for Rent in Ghala PPA200,"Ghala, Muscat•",1,1.0,225.0,75.0,3.0
Modern  | 1 BD | Furnished,"Qurum, Muscat•",2,2.0,450.0,92.0,4.891304347826087
Modern community villa | brand new | move in no,"Madinat As Sultan Qaboos, Muscat•",5,5.0,850.0,300.0,2.8333333333333335
amazing office for rent in qourum,"Qurum, Muscat•",2,,1600.0,406.0,3.9408866995073892
Qurum  | 2 BD  | Semi furnished,"Qurum, Muscat•",2,2.0,400.0,120.0,3.3333333333333335
8+2 BD |  Standalone  | Lift,"Madinat As Sultan Qaboos, Muscat•",9,9.0,2500.0,600.0,4.166666666666667
exceptional opportunity | shipmall shops now availabile for rent,"Al Ghubrah, Muscat•",2,,1100.0,185.0,5.945945945945946
Villa For Rent,"Barka, Al Batinah•",6,6.0,350.0,360.0,0.9722222222222222
MADINAT QABOOS | SPACIOUS 4+1 LUXURIOUS COMPOUND VILLA,"Madinat As Sultan Qaboos, Muscat•",6,6.0,1200.0,300.0,4.0
BANNER 107 - 5BHK VILLA FOR RENT NEAR MAWALEH MEDICAL CENTER,"Al Mawaleh, Muscat•",6,6.0,500.0,450.0,1.1111111111111112
BANNER 02 - 5BHK MODERN STYLE VILLA FOR RENT IN ANSAB,"Ansab, Muscat•",6,6.0,500.0,450.0,1.1111111111111112
Commercial Building for Rent,"Al Mawaleh, Muscat•",2,,1800.0,470.0,3.8297872340425534
4 BR Spacious Apartment in Qurum – Close to Expressway,"Qurum, Muscat•",4,4.0,300.0,359.0,0.8356545961002786
Shop For Rent - al Khoud,"Al Khoud, Muscat•",2,,350.0,24.0,14.583333333333334
For Rent Dublex Fully Furnished - Muscat Bay,"Barr Al Jissah, Muscat•",4,4.0,1500.0,11.0,136.36363636363637
For Rent Shops  - Al Misfah,"Misfah, Muscat•",2,,140.0,32.0,4.375
QURUM | LUXURIOUS 3+1 BR TOWNHOUSE,"Qurum, Muscat•",4,4.0,1200.0,300.0,4.0
MUSCAT HILLS | FURNISHED 1 BR APARTMENT,"Muscat Hills, Muscat•",2,2.0,450.0,85.0,5.294117647058823
High-end villa for rent in Al-azaba,"Azaiba, Muscat•",5,5.0,550.0,350.0,1.5714285714285714
MADINAT QABOOS | EXCELLENT GROUND FLOOR 4 BR VILLA,"Madinat As Sultan Qaboos, Muscat•",5,5.0,800.0,300.0,2.6666666666666665
RUSAYL INDUSTRIAL AREA | 952 SQM WAREHOUSE IN PRIME LOCATION,"Al Rusayl, Muscat•",2,,2379.0,952.0,2.4989495798319328
High-end villa for rent in Bousher Al Muna,"Bosher, Muscat•",5,5.0,650.0,350.0,1.8571428571428572
For Rent 8 Bhk in Ruwi ( Commerical  Use),"Ruwi, Muscat•",2,,2200.0,450.0,4.888888888888889
For Rent Fully Furnished 2Bhk Flat in Al Mouj,"The Wave (Almouj), Muscat•",2,2.0,750.0,10.0,75.0
For Rent Fully Furnished 2 BHK Flat In Al Mouj Marsa Garden,"The Wave (Almouj), Muscat•",2,2.0,750.0,10.0,75.0
For Rent 7 BHK Fully Furnished Villa In Al Qurum,"Qurum, Muscat•",8,8.0,950.0,10.0,95.0
For Rent Flat 2BHK - Shatti Al Qurum,"Qurum, Muscat•",3,3.0,550.0,11.0,50.0
For Rent Open Spaces In Boucher / Sultan Qabous City,"Bosher, Muscat•",2,,280.0,42.0,6.666666666666667
For Rent Ware House In Al Misfah للإيجار مستودع في المسفاة,"Misfah, Muscat•",2,,7200.0,1799.0,4.002223457476376
For Rent Shop And Store In Al Azaiba,"Azaiba, Muscat•",2,,930.0,310.0,3.0
For Rent Store In Al Misfah,"Misfah, Muscat•",2,,1500.0,500.0,3.0
For Rent Open Spaces Located In Al -Qurum,"Qurum, Muscat•",2,,750.0,200.0,3.75
For Rent 6 Bhk Villa in Sarouj ( Commercial Use),"Qurum, Muscat•",2,,1200.0,10.0,120.0
For Rent 1 Bhk Flat In Juman 2 Sea View,"The Wave (Almouj), Muscat•",2,2.0,600.0,10.0,60.0
For Rent 5 Bhk + 1 Villa In Al Khwair ( Residential Commercial),"Al Khuwair, Muscat•",6,6.0,700.0,10.0,70.0
For Rent 4 Bhk Villa In Shatti Al Qurum,"Qurum, Muscat•",4,4.0,500.0,10.0,50.0
For Rent 2 Bhk Flat In Al qurum,"Qurum, Muscat•",2,2.0,290.0,10.0,29.0
For Rent 4 Bhk In Al Allam,"Madinat As Sultan Qaboos, Muscat•",6,6.0,1300.0,10.0,130.0
"For Rent:  Stunning 1 Bedroom Apartment in Liwan, Muscat","The Wave (Almouj), Muscat•",2,2.0,625.0,114.0,5.482456140350878
AL MOUJ | 2BHK FULL MARINA VIEW WITH SPACIOUS OPEN BALCONY FOR RENT,"The Wave (Almouj), Muscat•",2,2.0,999.0,112.0,8.919642857142858
MUSCAT HILLS | FULLY FURNISHED 2BHK STUNNING APARTMENT FOR RENT,"Muscat Hills, Muscat•",3,3.0,550.0,120.0,4.583333333333333
AL MOUJ | 2+2 BHK MARINA VIEW APARTMENT IN JUMAN FOR RENT,"The Wave (Almouj), Muscat•",4,4.0,1199.0,125.0,9.592
MADINAT SULTAN QABOOS | BRAND NEW LUXURIOUS 5+1BR TWIN VILLAS,"Madinat As Sultan Qaboos, Muscat•",8,8.0,1700.0,475.0,3.5789473684210527
BOSHER | BRAND NEW MODERN 3+1 BR TOWNHOUSES WITH PRIVATE POOL FOR RENT,"Bosher, Muscat•",5,5.0,850.0,245.0,3.4693877551020407
AL QURUM | 300 SQM OPEN SPACE OFFICE IN PRIME LOCATION,"Qurum, Muscat•",2,,1795.0,300.0,5.983333333333333
MADINAT AL ILAM | BRAND NEW 5+1 BR LUXURIOUS VILLA FOR RENT,"Madinat As Sultan Qaboos, Muscat•",8,8.0,1300.0,490.0,2.6530612244897958
2 Bedrooms Apartment With Full Marina Views,"The Wave (Almouj), Muscat•",2,2.0,1100.0,150.0,7.333333333333333
استديو مؤثث بالكامل للايجار في العذيبة قريب المطار,"Azaiba, Muscat•",1,1.0,170.0,2000.0,0.085
6me65 - Open Showroom Space for Rent in Qurum,"Qurum, Muscat•",2,,5500.0,1600.0,3.4375
6me63 - Commercial Villa for Rent in Shatti Qurum,"Qurum, Muscat•",2,,1300.0,400.0,3.25
6me61 - Modern 6 BHK Villa For Rent In Shatti Qurum,"Qurum, Muscat•",7,7.0,1000.0,600.0,1.6666666666666667
6me60 - Comfortable 5+1 BHK Townhouse For Rent In Shatti Qurum,"Qurum, Muscat•",8,8.0,650.0,450.0,1.4444444444444444
6me56 Amazing 4 BHK villa for rent in Qurum PDO,"Qurum, Muscat•",4,4.0,650.0,400.0,1.625
6me54 - Cozy 3 BHK twin villa near Qurum Park,"Qurum, Muscat•",3,3.0,400.0,350.0,1.1428571428571428
6me52 - Commercial spaces for rent near Qurum Park,"Qurum, Muscat•",2,,435.0,120.0,3.625
6me7 - 3BHK Fanciful townhouse for rent located in Qurom,"Qurum, Muscat•",4,4.0,550.0,350.0,1.5714285714285714
3me61 - Peaceful 5+1 BHK standalone villa for Rent in MQ Al Ilam City,"Madinat As Sultan Qaboos, Muscat•",4,4.0,900.0,450.0,2.0
3me60 - Commercial villa for Rent in MQ,"Madinat As Sultan Qaboos, Muscat•",2,,1500.0,400.0,3.75
3me64 - Well designed 4+1 Townhouse for Rent in MQ Al Ilam City,"Madinat As Sultan Qaboos, Muscat•",4,4.0,800.0,400.0,2.0
3me62- Centrally located 3BHK Apartments,"Madinat As Sultan Qaboos, Muscat•",4,4.0,850.0,300.0,2.8333333333333335
3me61 - Centrally located Fully furnished 1BHK for Rent,"Madinat As Sultan Qaboos, Muscat•",1,1.0,650.0,100.0,6.5
3me49 - Cozy 4+1 BHK Compound Villa For Rent in Al Ilam City,"Madinat As Sultan Qaboos, Muscat•",5,5.0,700.0,400.0,1.75
3me48 - Luxurious 3+1 twin Compound Villa For Rent In Al Ilam City,"Madinat As Sultan Qaboos, Muscat•",5,5.0,1200.0,450.0,2.6666666666666665
2me2 - Furnished 2 bedroom Flat With Sea View in Ghubrah,"Al Ghubrah, Muscat•",3,3.0,500.0,180.0,2.7777777777777777
5me13 - Amazing 4BHK villa for rent in bosher al mona,"Bosher, Muscat•",4,4.0,600.0,350.0,1.7142857142857142
5me17 - Amazing 3BHK Villa For Rent in Bosher,"Bosher, Muscat•",4,4.0,850.0,350.0,2.4285714285714284
"1me57 - Modern Style 4 Bhk Villa For Rent In Azaiba, Beach Street","Azaiba, Muscat•",4,4.0,650.0,400.0,1.625
1me58 5+1 Spacious Stand Alone Villa For Rent In Azaiba,"Azaiba, Muscat•",4,4.0,1500.0,450.0,3.3333333333333335
1me55 - 2BHK Sophisticated Flat For Rent In Azaiba,"Azaiba, Muscat•",3,3.0,400.0,103.0,3.883495145631068
4ME33 - Beautiful  5 BHK villa for Rent in Ansab Hight,"Ansab, Muscat•",6,6.0,700.0,450.0,1.5555555555555556
Prime Location 55 sqm Shop for Rent in Sandan PPC116,"Al Maabilah, Muscat•",2,,150.0,55.0,2.727272727272727
2BHK Office Space For Rent in Shatti Al Qurum QM PPC100,"Qurum, Muscat•",2,,370.0,90.0,4.111111111111111
Commercial Office Spaces for Rent in Azaiba MDC PPC132,"Azaiba, Muscat•",2,,840.0,240.0,3.5
New Office Space for Rent in Al Ansab – Flexible Rental Options PPC126,"Ansab, Muscat•",2,,275.0,75.0,3.6666666666666665
100 SQM Offices for Rent in Ghala near Qatar Airways Office PPC119,"Ghala, Muscat•",2,,400.0,100.0,4.0
Prime Location Showrooms for Rent at MBD Ruwi PPC84,"Ruwi, Muscat•",2,,591.0,118.12,5.003386386725364
50 SQM Business Center Office for Rent in Bousher – PPC127,"Bosher, Muscat•",2,,150.0,50.0,3.0
Prime Shop Space for Rent in Beach Commercial Complex in Shatti PPC99,"Qurum, Muscat•",2,,1700.0,117.0,14.52991452991453
Brand New Offices FOR RENT in Azaiba facing Sultan Qaboos St. PPC105,"Azaiba, Muscat•",2,,4185.0,93.0,45.0
Brand New 46 SQM Shop for Rent in Mawaleh Near City Centre - PPC140,"Al Mawaleh, Muscat•",2,,550.0,46.0,11.956521739130435
Prime Shop Spaces for Rent in Qurum Heights – Archway Bldg. PPC124,"Qurum, Muscat•",2,,600.0,60.0,10.0
Spacious Office for Rent in Al Khuwair – Jasmin Complex PPC117,"Al Khuwair, Muscat•",2,,650.0,201.0,3.2338308457711444
Office for Rent in Al Khuwair - PPC101,"Al Khuwair, Muscat•",2,,700.0,192.0,3.6458333333333335
"Corner Shop for Rent – Al Muzn Residences, Mawaleh – PPC133","Al Mawaleh, Muscat•",2,,900.0,90.0,10.0
Prime Commercial Spaces for Rent in Madinat Sultan Qaboos PPC130,"Madinat As Sultan Qaboos, Muscat•",2,,1638.0,126.0,13.0
Spacious Commercial Space for Rent in Ghala near Hormuz Station PPC121,"Ghala, Muscat•",2,,3675.0,1225.0,3.0
Prime Corner Shop for Rent in Muscat Hills - PPC109,"Muscat Hills, Muscat•",2,,1410.0,141.0,10.0
Brand New 97 SQM Corner Shop for Rent in Al Ansab – PPC139,"Ansab, Muscat•",2,,650.0,97.0,6.701030927835052
"Office for Rent - Al Teif Building, Bousher – PPC134","Bosher, Muscat•",2,,250.0,40.0,6.25
Premium Office Spaces FOR RENT in Madinat Sultan Qaboos PPC19,"Madinat As Sultan Qaboos, Muscat•",2,,448.0,64.0,7.0
Prime Commercial Spaces for Rent in Madinat Sultan Qaboos PPC18,"Madinat As Sultan Qaboos, Muscat•",2,,1079.0,83.0,13.0
Prime Office Spaces for Rent in Shatti Qurum PPC01,"Qurum, Muscat•",2,,330.0,45.0,7.333333333333333
Prime Commercial Space for Rent in Muscat Hills PPC72,"Muscat Hills, Muscat•",2,,1300.0,100.0,13.0
3 plus 1 BHK Brand New Villa with Private Pool in Al Muna PPV283,"Bosher, Muscat•",5,5.0,950.0,280.0,3.392857142857143
7BHK Commercial Villa in Mawaleh South Mazoon Road PPC03,"Al Mawaleh, Muscat•",6,6.0,1200.0,550.0,2.1818181818181817
Luxury 5 plus 1 BHK Villa for Rent in Al Khoud – PPV279,"Al Khoud, Muscat•",6,6.0,450.0,450.0,1.0
Brand New 5+1BHK Luxury Twin Villa for Rent in Madinat Qaboos PPV272,"Madinat As Sultan Qaboos, Muscat•",8,8.0,2000.0,550.0,3.6363636363636362
"Luxury 4+1BHK Villa for Rent in Sarooj St. , Shatti Al Qurum PPV259","Qurum, Muscat•",6,6.0,1200.0,520.0,2.3076923076923075
Amazing modern 3+1BHK Villa FOR RENT in Qurum Heights PPV86,"Qurum, Muscat•",5,5.0,1200.0,385.0,3.116883116883117
Luxury 5BHK Villa for Rent – Muscat Bay – PPV278,"Barr Al Jissah, Muscat•",6,6.0,1800.0,500.0,3.6
Spacious 5BHK Compound Villa for Rent in Al Khoud 6 – PPV275,"Al Khoud, Muscat•",6,6.0,450.0,350.0,1.2857142857142858
Bausher 3BHK Al Muna Villa FOR RENT behind Dolphin Village PPV75,"Bosher, Muscat•",4,4.0,600.0,400.0,1.5
Brand New 4+1BHK Luxury Villa with Private Pool in Muscat Bay – PPV274,"Barr Al Jissah, Muscat•",0,0.0,1750.0,770.0,2.272727272727273
6+1 BHK Spacious Villa for rent in Ghubra PPV249,"Al Ghubrah, Muscat•",7,7.0,1200.0,515.0,2.3300970873786406
4+1BHK Villa Izz Complex FOR RENT in Madinat Al Ilam PPV84,"Madinat As Sultan Qaboos, Muscat•",6,6.0,650.0,450.0,1.4444444444444444
5BHK Fully Furnished Luxury Villa Rent in Al Mouj Near Beach– PPV277,"Muscat - Other, Muscat•",6,6.0,4500.0,694.0,6.484149855907781
Luxury 5+1 BHK Villa in a Complex FOR RENT Madinat Ilam  PPV06,"Madinat As Sultan Qaboos, Muscat•",6,6.0,1600.0,450.0,3.5555555555555554
Spacious 6+1 BHK Villa for Rent in Shatti Qurum PPV199,"Qurum, Muscat•",8,8.0,800.0,500.0,1.6
Fully Furnished 2BHK For Rent Muscat Hills PPA253,"Muscat Hills, Muscat•",2,2.0,650.0,120.0,5.416666666666667
3 BHK Fully Furnished Apartment for Rent in Tilal Al Qurm PPA406,"Qurum, Muscat•",3,3.0,400.0,140.0,2.857142857142857
Luxury Apartment 3+1BHK FOR RENT in Salam Gardens MQ PPA154,"Madinat As Sultan Qaboos, Muscat•",5,5.0,850.0,275.0,3.090909090909091
Brand New Fully Furnished 2BHK Front View in Muscat Hills – PPA397,"Muscat Hills, Muscat•",3,3.0,550.0,115.0,4.782608695652174
Luxury 3+1BHK Apartment for Rent in Madinat Sultan Qaboos PPA98,"Madinat As Sultan Qaboos, Muscat•",4,4.0,800.0,195.0,4.102564102564102
2+1 BHK Apartment with Sea View for Rent – Muscat Bay PPA376,"Barr Al Jissah, Muscat•",4,4.0,800.0,200.0,4.0
New 2BHK duplex apartment for rent Azaiba near Tamarah building PPA398,"Azaiba, Muscat•",3,3.0,400.0,115.0,3.4782608695652173
Luxury 2+1BHK Duplex Apartment for Rent in Madinat Qaboos PPA99,"Madinat As Sultan Qaboos, Muscat•",4,4.0,700.0,170.0,4.117647058823529
Exceptional 2+1 BHK Apartment for Rent in Muscat Bay – Zaha PPA374,"Barr Al Jissah, Muscat•",3,3.0,700.0,115.0,6.086956521739131
2BHK Apartment for Rent in Qurum near PDO PPA280,"Qurum, Muscat•",2,2.0,250.0,95.0,2.6315789473684212
Brand New Fully Furnished 2BHK Penthouse in Muscat Hills – PPA395,"Muscat Hills, Muscat•",3,3.0,550.0,120.0,4.583333333333333
فيلا كورنر موقع حيوي فالخوض,"Al Khoud, Muscat•",5,5.0,380.0,250.0,1.52
شقتان راقيتان للإيجار في الحيل الشمالية | Two Elegant Apartments for R,"Al Hail, Muscat•",4,4.0,275.0,130.0,2.1153846153846154
محل تجاري للبيع في بوشر اعلان رقم 138,"Bosher, Muscat•",2,,85000.0,204.0,416.6666666666667
محلات للإيجار في السيب جانب العريمي بوليفارد,"Al Khoud, Muscat•",2,,13.0,35.0,0.37142857142857144
فيلا فاخرة للإيجار – موقع مميز على شارع الخوض | Luxurious Villa for Re,"Al Khoud, Muscat•",9,9.0,900.0,330.0,2.727272727272727
Modern 2BHK Apartment with Amenities in Muscat Hills PPA363,"Muscat Hills, Muscat•",3,3.0,425.0,122.0,3.4836065573770494
Affordable 1 BHK for Rent in Prime Al Khuwair,"Al Khuwair, Muscat•",1,1.0,190.0,70.0,2.7142857142857144
"Stunning 1-Bedroom Apartment for Rent in Liwan, Muscat","The Wave (Almouj), Muscat•",2,2.0,650.0,114.0,5.701754385964913
3BHK Apartment FOR RENT in Al Khuwair 33 MPA27,"Al Khuwair, Muscat•",3,3.0,250.0,140.0,1.7857142857142858
Rooms for rent in north Al Mawaleh-غرف للايجار ف الموالح الشمالية,"Al Mawaleh, Muscat•",1,1.0,140.0,50.0,2.8
4me35 - Cozy 5 BHK Villa For Rent in Ansab,"Ansab, Muscat•",5,5.0,500.0,400.0,1.25
For Rent Fully Furnished Office in Al Khuwair,"Al Khuwair, Muscat•",2,,650.0,80.0,8.125
For Rent Open Space In Qurum 29 (Commercial Use),"Qurum, Muscat•",2,,2000.0,336.0,5.9523809523809526
For Rent Fully Furnished Commercial Office In Al Gubarah,"Al Ghubrah, Muscat•",2,,1900.0,350.0,5.428571428571429
4ME25 - 5 Bhk Spacious Villa For Rent In Ansab Height,"Ansab, Muscat•",6,6.0,500.0,450.0,1.1111111111111112
For Rent 4 Bhk Villa In Qurum ( Sarouj ),"Qurum, Muscat•",5,5.0,1200.0,10.0,120.0
For Rent 5 Bhk +1 Villa In Al Allam City,"Madinat As Sultan Qaboos, Muscat•",6,6.0,1400.0,10.0,140.0
For Rent 4 Bhk Villa In Al Qurum,"Qurum, Muscat•",4,4.0,650.0,10.0,65.0
4Me7 Brand new 3BHK villa for rent in Ansab Heights,"Ansab, Muscat•",4,4.0,500.0,350.0,1.4285714285714286
6me55 - Nice 2 BHK Apartment For Rent in Qurum,"Qurum, Muscat•",2,2.0,325.0,150.0,2.1666666666666665
6me48- Nice 4 BHK Villa For Rent in Qurum,"Qurum, Muscat•",4,4.0,500.0,400.0,1.25
6me42 - Modern 2 BHK apartment for Rent in Qurum,"Qurum, Muscat•",2,2.0,400.0,100.0,4.0
6me3 - Luxury 1 bhk Flat For Rent In Qurum-Beach Str.,"Qurum, Muscat•",2,2.0,350.0,100.0,3.5
6me2 - Luxury 2 bhk Flat For Rent In Qurum-Beach Str.,"Qurum, Muscat•",2,2.0,450.0,150.0,3.0
6me9 - Modern Style 4 Bhk Townhouse Villas For Rent In Qurum,"Qurum, Muscat•",4,4.0,1200.0,450.0,2.6666666666666665
6me34 - Beautiful 4BHK villa for rent in Qurum Fuhud Strt,"Qurum, Muscat•",4,4.0,800.0,400.0,2.0
Charming 1 BHK Apartment in Al Khuwair!,"Al Khuwair, Muscat•",2,2.0,225.0,120.0,1.875
6me10 - Modern style four-bedrooms villas for rent in shatti Qurum,"Qurum, Muscat•",4,4.0,700.0,400.0,1.75
6me19 - Commercial spaces for rent strategic location btw Qurum & MQ,"Qurum, Muscat•",2,,1200.0,200.0,6.0
6me4 - Luxury 1BHK Flats for rent in Qurum complex Facing Qurom Park.,"Qurum, Muscat•",2,2.0,350.0,150.0,2.3333333333333335
6me1 - Fabulous offices for rent in Qurum near Grand Hyatt,"Qurum, Muscat•",2,,1819.0,214.0,8.5
ME7 - 6BHK Commercial Villa Located In a Prime Location in Khuwair,"Al Khuwair, Muscat•",2,,700.0,500.0,1.4
3me40 - Beautiful 4+1BHK Villa for rent in MQ,"Madinat As Sultan Qaboos, Muscat•",5,5.0,900.0,450.0,2.0
3me3 - Luxurious 5BHK Villa for rent in Madinat S. Qabous near British,"Madinat As Sultan Qaboos, Muscat•",6,6.0,1000.0,450.0,2.2222222222222223
