property_name,location,bedrooms,bathrooms,price,size,price_per_sqm
Exclusive Fully Serviced Office Spaces - Al Khuwair - Bait Eteen,"Al Khuwair, Muscat•",2,,250.0,12.0,20.833333333333332
"ADW03**Beautiful & Spacious 2 BHK Apartment for Rent – The Wave, Marsa","The Wave (Almouj), Muscat•",2,2.0,700.0,110.0,6.363636363636363
3 Bedroom Apartment for Rent in Al Mouj Muscat,"The Wave (Almouj), Muscat•",3,3.0,900.0,200.0,4.5
BRAND NEW 3 BR TOWNHOUSE IN AL MUNA BOUSHER,"Bosher, Muscat•",4,4.0,700.0,300.0,2.3333333333333335
AL KHUWAIR | EXCELLENT 2 BHK FLAT FOR FAMILIES,"Al Khuwair, Muscat•",2,2.0,270.0,105.0,2.5714285714285716
FULLY FURNISHED 1 BHK APARTMENT,"Al Ghubrah, Muscat•",1,1.0,300.0,85.0,3.5294117647058822
FULLY FURNISHED 2 BR FLAT IN KHUWAIR (AVAILABLE SOON),"Al Khuwair, Muscat•",2,2.0,350.0,105.0,3.3333333333333335
MADINAT SULTAN QABOOS | HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILLA,"Madinat As Sultan Qaboos, Muscat•",9,9.0,1899.0,590.0,3.2186440677966104
GHALA | 2200 SQM WAREHOUSE FOR RENT IN PRIME LOCATION,"Ghala, Muscat•",2,,3999.0,2200.0,1.8177272727272726
QURM | PALATIAL 5+2 BR VILLA IN A PRIVATE COMPUND,"Qurum, Muscat•",8,8.0,2299.0,658.0,3.4939209726443767
MADINAT QABOOS | MODERN 4+1 LUXURIOUS VILLA WITH PRIVATE POOL FOR RENT,"Madinat As Sultan Qaboos, Muscat•",7,7.0,1599.0,454.0,3.5220264317180616
MADINAT AL ILAM | FULLY FURNISHED 5+1BR COMPOUND VILLA,"Madinat As Sultan Qaboos, Muscat•",8,8.0,1400.0,375.0,3.7333333333333334
4 + 1 Maid’s Room Amazing Villa with Private Pool in Muscat Hills,"Muscat Hills, Muscat•",5,5.0,1350.0,689.0,1.9593613933236576
1bhk in Bosher free WiFi (B264),"Bosher, Muscat•",2,2.0,200.0,80.0,2.5
2bhk near Al Mouj free WiFi (B173),"Al Mawaleh, Muscat•",3,3.0,250.0,100.0,2.5
1bhk in almasfah,"Misfah, Muscat•",2,2.0,100.0,70.0,1.4285714285714286
AL MOUJ | AMAZING 3+1BR GHADEER COURTYARD VILLA,"The Wave (Almouj), Muscat•",4,4.0,1299.0,337.0,3.85459940652819
للايجار شقه جديده في موقع متميز في غلا شقه غرفه وصاله,"Ghala, Muscat•",2,2.0,220.0,75.0,2.933333333333333
ورشه ومركز صيانه للايجار في مسفاه بموقع مميز وحيوي work shop for Rent,"Misfah, Muscat•",2,,2000.0,1600.0,1.25
للإيجار – محلين تجاريين في الموالح الجنوبية 11 مقابل جهاز الضرائب,"Al Mawaleh, Muscat•",2,,325.0,74.0,4.391891891891892
للايجار شقة للعوائل في بوشر 1BHK FOR RENT,"Bosher, Muscat•",2,2.0,190.0,75.0,2.533333333333333
for rent open space offices and companies located in prime area Ghala,"Ghala, Muscat•",2,,800.0,350.0,2.2857142857142856
شقه بموقع مميز في الغبرة الشمالية ( للمكاتب فقط) flat for office need,"Al Ghubrah, Muscat•",2,2.0,350.0,120.0,2.9166666666666665
AL KHUWAIR | WELL MAINTAINED 2 BR FLAT,"Al Khuwair, Muscat•",2,2.0,280.0,105.0,2.6666666666666665
Road Facing Showroom for Rent in Hamriya!,"Al Hamriyah, Muscat•",2,,2000.0,400.0,5.0
Modern 3+1 Villa for Rent – Qurum Heights,"Qurum, Muscat•",4,4.0,1200.0,200.0,6.0
Commercial Space for Rent in Al Khuwair – Special Discounted Rate!,"Al Khuwair, Muscat•",2,,1150.0,226.0,5.088495575221239
Road-Facing Commercial Space for Rent – Heart of Al Khuwair,"Al Khuwair, Muscat•",2,,2700.0,130.0,20.76923076923077
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,"Ghala, Muscat•",2,,4000.0,2200.0,1.8181818181818181
Brand New 2 Bedroom Apartment in Almouj Muscat,"The Wave (Almouj), Muscat•",3,3.0,1100.0,146.0,7.534246575342466
2 Bedroom Apartment for Rent in Al Mouj,"The Wave (Almouj), Muscat•",2,2.0,700.0,136.0,5.147058823529412
