property_name,location,bedrooms,bathrooms,price,size
2 BEDROOM APARTMENT IN (GHUBRA),Al Ghoubrah,2,2,210,135.0
COMMERCIAL SPACE IN (SHATTI AL QURUM),Shatti Al Qurum,2,,11900,1400.0
PEARL BUILDING COMMERCIAL SPACE,Muscat Hills,2,,1200,97.0
7+1 BEDROOM COMMERCIAL VILLA IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),5,5,1800,260.0
6+2 BHK COMMERCIAL VILLA IN (AZAIBA),Azaiba,10,10,3000,1000.0
6+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,7,7,1800,739.0
4+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,5,5,1200,529.0
5+1 BEDROOM TOWNHOUSE IN ( QURUM),Qurum,6,6,1750,556.0
5+1  BEDROOM TOWNHOUSE IN (QURUM),Qurum,6,6,1500,780.42
2 BHK FULLY FURNISHED DUPLEX APARTMENT IN ( AL MOUJ),Al Mouj,3,3,2300,172.0
2-BEDROOM APARTMENT,Al Mawaleh,3,3,250,120.0
1-BEDROOM APARTMENT,Al Mawaleh,2,2,220,120.0
5+1 BEDROOM VILLA IN (AL ANSAB),Al Ansab,6,6,750,120.0
FURNISHED 5 BEDROOM TWIN VILLA,Al Ansab,2,,850,120.0
4 + 1 BEDROOM DETACHED VILLA,Al Ghoubrah,5,5,900,350.0
7+1 BEDROOM FURNISHED  VILLA IN ( AL KHUWAIR),Al Khuwair,6,6,950,416.0
3 BEDROOM TOWNHOUSE,Qurum,4,4,750,250.0
5+3 BEDROOM VILLA IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),8,8,2100,750.0
"SHOP FOR RENT IN (RUWI, WALJA)",Ruwi,1,1,400,9472.0
2 BEDROOM APARTMENT IN (RUWI CBD),nan,2,2,140,130.0
2 BHK FULL FURNISHED APARTMENT IN (QURUM),Shatti Al Qurum,3,3,450,135.0
OFFICE SPACE IN (RUWI),Ruwi,2,,1500,350.0
2 BEDROOM APARTMENTS IN (RUWI),Ruwi,3,3,225,130.0
1 BEDROOM APARTMENTS IN RUWI (WALJA),Ruwi,2,2,150,80.0
FURNISHED 2 BEDROOM TWIN-VILLA IN (MUTRAH),Mutrah,2,2,380,135.0
5000 SQM WAREHOUSE IN (GHALA),Ghala,2,,7500,5000.0
NEW COMMERCIAL SHOPS IN (MABELLAH),Maabelah,2,,550,47.5
4 BEDROOM TWIN VILLA IN (SHATTI ALQURUM),Shatti Al Qurum,5,5,1500,350.0
2 BEDROOM APARTMENT IN (BOUSHAR),Bausher,2,,220,120.0
4 BEDROOM DETACHED VILLA,Azaiba,4,4,750,750.0
COMMERCIAL SHOPS IN (MABELLAH),Maabelah,2,,350,350.0
8 BEDROOM TWIN VILLA,Al Khoudh,5,5,600,120.0
1 BEDROOM FURNISHED PENTHOUSE IN (ALKHUWAIR),Al Khuwair,2,2,320,100.0
5 + 1 BEDROOM TWIN VILLA IN (ALKHOUDH),Al Khoudh,6,6,500,350.0
6 BEDROOM DETACHED VILLA,Al Awabi,7,7,600,250.0
COMMERCIAL SPACES,Seeb,2,,135,32.0
4 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,4,680,200.0
NEW FURNISHED 1 BEDROOM APARTMENT IN (MUSCAT BAY),MUSCAT BAY,1,1,500,120.0
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,5,5,550,250.0
4 BEDROOM TOWNHOUSE IN (ALSEEB),Seeb,5,5,550,290.0
6 BEDROOM TWIN-VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,7,7,1000,370.0
5 + 1 BEDROOM VILLA IN (SHATTI AL QURUM),Shatti Al Qurum,8,8,750,350.0
2 BEDROOM APARTMENT IN,Al Hail,2,2,180,120.0
2 BEDROOM APARTMENT (SHATTI AL QURUM),Muscat,2,2,550,130.0
2 BEDROOM APARTMENT IN (AL MAWALLEH),Al Mawaleh,2,2,200,85.0
2 BEDROOM APARTMENT IN (GHALA),Ghala,3,3,210,120.0
